ID:Integer:set:pk=true;DESCRIPCION:String:set:size=100
1;"Carril derecho"
2;"Carril izquierdo"
3;"Carril central"
4;"Carril reversible"
5;"Arcén habilitado"
6;"Carril de aceleración"
7;"Carril de deceleración"
8;"Carril de trenzado"
9;"Carril adicional para circulación rápida"
10;"Carril adicional para circulación lenta"
11;"Carril habilitado en sentido contrario"
12;"Carril para cambio sentido/dirección"
13;"Carril bus"
14;"Carril VAO"
15;"Carril tranvía"
16;"Mediana"
17;"Cuneta"
18;"Acera-bici"
19;"Carril bici"
21;"Pista-bici"
22;"Arcén"
23;"Acera-refugio"
24;"Otro"
25;"Acera"
26;"Paso de peatones"
77;"Se desconoce"
20;"Carril bici protegido"
